date,close,turnover_rate_f,pct_chg
2005-04-08,1003.445,1.42,1.9002
2005-04-11,995.421,1.53,-0.7996
2005-04-12,978.697,0.99,-1.6801
2005-04-13,1000.9,1.55,2.2686
2005-04-14,986.975,1.25,-1.3912
2005-04-15,974.082,1.0,-1.3063
2005-04-18,963.772,0.83,-1.0584
2005-04-19,965.886,0.88,0.2193
2005-04-20,950.867,0.85,-1.5549
2005-04-21,943.981,0.95,-0.7242
2005-04-22,939.101,1.03,-0.517
2005-04-25,930.07,1.1,-0.9617
2005-04-26,937.083,1.12,0.754
2005-04-27,926.604,1.04,-1.1183
2005-04-28,942.073,1.38,1.6694
2005-04-29,932.395,1.08,-1.0273
2005-05-09,909.174,0.82,-2.4905
2005-05-10,913.076,1.0,0.4292
2005-05-11,901.851,0.87,-1.2294
2005-05-12,885.82,0.98,-1.7776
2005-05-13,887.543,1.08,0.1945
2005-05-16,875.271,0.79,-1.3827
2005-05-17,881.462,0.84,0.7073
2005-05-18,883.196,0.75,0.1967
2005-05-19,884.171,0.78,0.1104
2005-05-20,882.763,0.69,-0.1592
2005-05-23,863.341,0.7,-2.2001
2005-05-24,868.456,0.88,0.5925
2005-05-25,868.451,0.69,-0.0006
2005-05-26,857.331,0.64,-1.2804
2005-05-27,849.508,0.74,-0.9125
2005-05-30,855.612,0.67,0.7185
2005-05-31,855.946,0.68,0.039
2005-06-01,837.532,0.76,-2.1513
2005-06-02,818.379,0.91,-2.2868
2005-06-03,818.033,0.76,-0.0423
2005-06-06,838.997,0.86,2.5627
2005-06-07,837.282,1.25,-0.2044
2005-06-08,905.773,3.15,8.1802
2005-06-09,912.604,3.17,0.7542
2005-06-10,894.556,2.14,-1.9776
2005-06-13,892.959,1.5,-0.1785
2005-06-14,883.537,1.37,-1.0551
2005-06-15,866.834,1.09,-1.8905
2005-06-16,879.237,1.06,1.4308
2005-06-17,880.345,1.43,0.126
2005-06-20,906.255,1.82,2.9432
2005-06-21,896.166,1.23,-1.1133
2005-06-22,900.646,1.01,0.4999
2005-06-23,893.572,0.91,-0.7854
2005-06-24,898.301,0.86,0.5292
2005-06-27,916.043,1.59,1.9751
2005-06-28,903.716,1.0,-1.3457
2005-06-29,898.898,1.04,-0.5331
2005-06-30,878.686,1.04,-2.2485
2005-07-01,859.494,0.97,-2.1842
2005-07-04,855.932,0.85,-0.4144
